* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:16:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:08:03, Feb 2 19:10:03, Feb 2 19:11:53, Feb 2 19:13:10, Feb 2 19:14:39, Feb 2 19:16:14
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
327.026 75.057 -83.540
327.393 74.995 -86.265
327.759 74.931 -89.053
328.125 74.865 -91.906
328.491 74.797 -94.823
328.857 74.727 -97.807
329.224 74.655 -100.856
329.590 74.581 -103.974
329.956 74.504 -107.158
330.322 74.426 -110.410
330.689 74.345 -113.730
331.055 74.263 -117.117
331.421 74.178 -120.572
331.787 74.091 -124.095
332.153 74.002 -127.684
332.520 73.911 -131.339
332.886 73.818 -135.060
333.252 73.724 -138.846
333.618 73.627 -142.695
333.984 73.528 -146.607
334.351 73.428 -150.580
334.717 73.326 -154.612
335.083 73.222 -158.703
335.449 73.117 -162.849
335.815 73.010 -167.050
336.182 72.903 -171.304
336.548 72.794 -175.607
336.914 72.684 -179.958
337.280 72.573 175.645
337.647 72.462 171.206
338.013 72.350 166.726
338.379 72.238 162.210
338.745 72.126 157.659
339.111 72.014 153.076
339.478 71.902 148.466
339.844 71.790 143.830
340.210 71.680 139.172
340.576 71.570 134.495
340.942 71.461 129.803
341.309 71.354 125.100
341.675 71.248 120.387
342.041 71.144 115.669
342.407 71.042 110.949
342.773 70.942 106.231
343.140 70.845 101.517
343.506 70.750 96.811
343.872 70.657 92.116
344.238 70.568 87.436
344.605 70.481 82.773
344.971 70.397 78.130
345.337 70.316 73.510
345.703 70.239 68.917
346.069 70.164 64.352
346.436 70.093 59.818
346.802 70.025 55.318
347.168 69.960 50.854
347.534 69.899 46.428
347.900 69.840 42.042
348.267 69.785 37.697
348.633 69.732 33.396
348.999 69.682 29.140
349.365 69.635 24.931
349.731 69.590 20.770
350.098 69.548 16.657
350.464 69.508 12.594
350.830 69.469 8.583
351.196 69.433 4.622
351.563 69.398 0.714
351.929 69.365 -3.142
352.295 69.333 -6.944
352.661 69.303 -10.694
353.027 69.273 -14.390
353.394 69.244 -18.033
353.760 69.215 -21.623
354.126 69.187 -25.159
354.492 69.159 -28.643
354.858 69.132 -32.074
355.225 69.104 -35.452
355.591 69.076 -38.779
355.957 69.047 -42.054
356.323 69.019 -45.278
356.689 68.989 -48.452
357.056 68.959 -51.576
357.422 68.928 -54.651
357.788 68.896 -57.678
358.154 68.863 -60.657
358.521 68.829 -63.590
358.887 68.794 -66.476
359.253 68.758 -69.317
359.619 68.721 -72.114
359.985 68.682 -74.867
360.352 68.642 -77.578
360.718 68.601 -80.247
361.084 68.558 -82.875
361.450 68.515 -85.464
361.816 68.470 -88.014
362.183 68.423 -90.526
362.549 68.376 -93.001
362.915 68.327 -95.442
363.281 68.277 -97.847
363.647 68.226 -100.220
364.014 68.173 -102.560
364.380 68.120 -104.870
364.746 68.066 -107.149
365.112 68.010 -109.400
365.479 67.954 -111.623
365.845 67.897 -113.821
366.211 67.840 -115.993
366.577 67.781 -118.142
366.943 67.723 -120.268
367.310 67.663 -122.373
367.676 67.604 -124.457
368.042 67.544 -126.523
368.408 67.484 -128.572
368.774 67.424 -130.603
369.141 67.364 -132.620
369.507 67.304 -134.622
369.873 67.244 -136.611
370.239 67.185 -138.588
370.605 67.126 -140.554
370.972 67.067 -142.510
371.338 67.009 -144.456
371.704 66.952 -146.394
372.070 66.896 -148.324
372.437 66.840 -150.247
372.803 66.785 -152.164
373.169 66.731 -154.074
373.535 66.678 -155.979
373.901 66.627 -157.880
374.268 66.576 -159.776
374.634 66.527 -161.667
375.000 66.479 -163.554
375.366 66.432 -165.437
375.732 66.387 -167.316
376.099 66.343 -169.191
376.465 66.300 -171.061
376.831 66.259 -172.928
377.197 66.219 -174.790
377.564 66.181 -176.647
377.930 66.145 -178.499
378.296 66.110 179.655
378.662 66.076 177.814
379.028 66.044 175.979
379.395 66.014 174.152
379.761 65.985 172.332
380.127 65.958 170.519
380.493 65.932 168.715
380.859 65.908 166.920
381.226 65.885 165.135
381.592 65.864 163.359
381.958 65.845 161.595
382.324 65.827 159.842
382.690 65.810 158.100
383.057 65.795 156.372
383.423 65.781 154.656
383.789 65.769 152.955
384.155 65.758 151.268
384.522 65.748 149.596
384.888 65.740 147.939
385.254 65.733 146.299
385.620 65.728 144.675
385.986 65.723 143.068
386.353 65.720 141.479
386.719 65.718 139.908
387.085 65.717 138.355
387.451 65.717 136.821
387.817 65.718 135.306
388.184 65.720 133.811
388.550 65.723 132.336
388.916 65.728 130.881
389.282 65.732 129.446
