* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:20:37, Feb 2 19:21:44, Feb 2 19:23:07, Feb 2 19:24:30, Feb 2 19:25:49, Feb 2 19:27:21
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
344.971 71.416 -30.342
345.337 71.421 -31.513
345.703 71.426 -32.734
346.069 71.430 -34.004
346.436 71.434 -35.322
346.802 71.437 -36.688
347.168 71.440 -38.103
347.534 71.441 -39.565
347.900 71.442 -41.074
348.267 71.442 -42.630
348.633 71.440 -44.233
348.999 71.438 -45.883
349.365 71.435 -47.579
349.731 71.431 -49.321
350.098 71.425 -51.109
350.464 71.419 -52.944
350.830 71.412 -54.825
351.196 71.403 -56.752
351.563 71.393 -58.727
351.929 71.383 -60.747
352.295 71.371 -62.815
352.661 71.358 -64.929
353.027 71.345 -67.092
353.394 71.330 -69.302
353.760 71.314 -71.559
354.126 71.298 -73.866
354.492 71.281 -76.221
354.858 71.262 -78.625
355.225 71.243 -81.079
355.591 71.224 -83.582
355.957 71.203 -86.136
356.323 71.182 -88.740
356.689 71.160 -91.395
357.056 71.137 -94.100
357.422 71.114 -96.857
357.788 71.090 -99.666
358.154 71.066 -102.526
358.521 71.041 -105.438
358.887 71.015 -108.401
359.253 70.989 -111.415
359.619 70.963 -114.481
359.985 70.936 -117.598
360.352 70.908 -120.766
360.718 70.881 -123.984
361.084 70.852 -127.252
361.450 70.824 -130.570
361.816 70.795 -133.935
362.183 70.766 -137.349
362.549 70.737 -140.810
362.915 70.707 -144.316
363.281 70.678 -147.867
363.647 70.648 -151.463
364.014 70.618 -155.100
364.380 70.588 -158.779
364.746 70.557 -162.497
365.112 70.527 -166.254
365.479 70.497 -170.047
365.845 70.468 -173.875
366.211 70.438 -177.736
366.577 70.408 178.371
366.943 70.379 174.448
367.310 70.351 170.498
367.676 70.322 166.522
368.042 70.295 162.522
368.408 70.268 158.500
368.774 70.241 154.459
369.141 70.216 150.399
369.507 70.191 146.324
369.873 70.167 142.235
370.239 70.144 138.134
370.605 70.122 134.023
370.972 70.101 129.905
371.338 70.082 125.781
371.704 70.064 121.654
372.070 70.047 117.524
372.437 70.031 113.396
372.803 70.018 109.269
373.169 70.005 105.146
373.535 69.994 101.030
373.901 69.985 96.921
374.268 69.978 92.823
374.634 69.972 88.735
375.000 69.968 84.660
375.366 69.966 80.600
375.732 69.965 76.556
376.099 69.966 72.530
376.465 69.970 68.523
376.831 69.974 64.538
377.197 69.981 60.574
377.564 69.989 56.634
377.930 69.999 52.718
378.296 70.011 48.829
378.662 70.025 44.967
379.028 70.040 41.133
379.395 70.056 37.328
379.761 70.074 33.554
380.127 70.094 29.811
380.493 70.115 26.101
380.859 70.138 22.423
381.226 70.161 18.780
381.592 70.187 15.170
381.958 70.213 11.597
382.324 70.240 8.059
382.690 70.269 4.557
383.057 70.299 1.092
383.423 70.329 -2.336
383.789 70.361 -5.726
384.155 70.393 -9.078
384.522 70.427 -12.392
384.888 70.461 -15.667
385.254 70.496 -18.904
385.620 70.531 -22.103
385.986 70.567 -25.262
386.353 70.604 -28.383
386.719 70.641 -31.465
387.085 70.678 -34.509
387.451 70.716 -37.515
387.817 70.754 -40.482
388.184 70.793 -43.411
388.550 70.831 -46.302
388.916 70.870 -49.157
389.282 70.909 -51.974
389.648 70.949 -54.754
390.015 70.988 -57.499
